5664529	/m/0dyy_v	Vixen!	1968		70.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/01yldk": "Softcore Porn", "/m/06b0n3": "Sexploitation"}
26776017	/m/0bm9993	Right to Love	1920-09-05		70.0	{"/m/06ppq": "Silent film"}	{"/m/09c7w0": "United States of America"}	{"/m/06ppq": "Silent film"}
29832307	/m/061l7z	The Thirteen Chairs	1969		94.0	{"/m/02bjrlw": "Italian Language", "/m/02h40lc": "English Language"}	{"/m/03rjj": "Italy"}	{"/m/05p553": "Comedy film", "/m/01z4y": "Comedy"}
24039457	/m/0crx1wl	ZA: Zombies Anonymous	2005		118.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0gf28": "Parody", "/m/0qdzd": "B-movie", "/m/03npn": "Horror", "/m/0jb4p32": "Zombie Film"}
31322464	/m/0gj8s31	Youth Sports Festival	1951			{"/m/04306rv": "German Language"}	{"/m/03f2w": "German Democratic Republic"}	{"/m/01z02hx": "Sports", "/m/0jtdp": "Documentary"}
5894429	/m/0fc8w8	Closing the Ring	2007-09-14		117.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America", "/m/0d060g": "Canada", "/m/07ssc": "United Kingdom"}	{"/m/068d7h": "Romantic drama", "/m/02l7c8": "Romance Film", "/m/07s9rl0": "Drama", "/m/082gq": "War film"}
12788657	/m/02x4zpv	The Boston Strangler	1968	17810894	116.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/01jfsb": "Thriller", "/m/07s9rl0": "Drama", "/m/02wtdps": "Crime Thriller"}
31153831	/m/0gh6n43	Neela Ponman	1975			{"/m/0999q": "Malayalam Language"}	{"/m/03rk0": "India"}	{}
27556929	/m/04j0jtp	Deadly Voyage	1996		90.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America", "/m/07ssc": "United Kingdom"}	{"/m/01jfsb": "Thriller", "/m/0cq22f9": "Action Thrillers", "/m/03npn": "Horror", "/m/015w9s": "Television movie", "/m/03btsm8": "Action/Adventure", "/m/07s9rl0": "Drama", "/m/0c3351": "Suspense", "/m/02kdv5l": "Action"}
4300418	/m/0bvx7h	The Hero: Love Story of a Spy	2003-04-11		182.0	{"/m/03k50": "Hindi Language"}	{"/m/03rk0": "India"}	{"/m/01jfsb": "Thriller", "/m/0cq22f9": "Action Thrillers", "/m/03k9fj": "Adventure", "/m/03q4nz": "World cinema", "/m/03btsm8": "Action/Adventure", "/m/04t36": "Musical", "/m/07s9rl0": "Drama", "/m/02kdv5l": "Action", "/m/02wtdkf": "Musical Drama"}
